#Table1
bestObjID,ra,dec,z,class,z1,velDisp,velDispErr,survey
1237654604257821360,173.49735,3.9410873,0.4653148,GALAXY,0.4653148,136.7601,29.72535,boss
1237655123930710607,173.4922,3.8335694,0.5712915,GALAXY,0.5712915,168.2455,33.76662,boss
0,173.49579,4.1873086,0.6482739,GALAXY,0.6482739,14.78921,96.35233,boss
1237655124467581324,173.46647,4.1309346,0.3387794,GALAXY,0.3387794,219.6312,16.46621,boss
1237654604794757627,173.53522,4.3499549,0.6337497,GALAXY,0.6337497,239.5613,39.61501,boss
1237654604794757337,173.55495,4.329223,0.3375634,GALAXY,0.3375634,202.8345,17.06988,boss
1237655124467581490,173.55733,4.0881394,0.5661487,GALAXY,0.5661487,193.6655,67.94683,boss
1237651755081203890,173.48389,3.4513801,0.5417894,GALAXY,0.5417894,251.6866,34.9211,boss
1237654030866252437,173.34449,3.2286944,0.5886574,GALAXY,0.5886574,152.8177,29.01428,boss
1237651755081204129,173.40343,3.4700269,0.3500033,GALAXY,0.3500033,197.1154,15.38835,boss
1237654030866317601,173.49356,3.1717444,0.7475857,GALAXY,0.7475857,123.7853,29.26312,boss
1237651755081204307,173.47151,3.4066438,0.5424803,GALAXY,0.5424803,176.2203,42.44091,boss
1237654030866186419,173.31597,3.2803616,0.297999,GALAXY,0.297999,302.9198,26.52339,boss
1237654031403188527,173.48207,3.5049014,0.5888825,GALAXY,0.5888825,251.8495,37.09662,boss
1237655123930645157,173.41549,3.677251,0.5454486,GALAXY,0.5454486,287.2847,37.71236,boss
1237651755081204493,173.42672,3.4935326,0.5888315,GALAXY,0.5888315,155.0294,40.63676,boss
1237654030866186784,173.29706,3.168246,0.5469025,GALAXY,0.5469025,181.1509,27.16942,boss
0,173.38713,3.6744208,0.81254,GALAXY,0.81254,761.1979,326.5986,boss
1237654031403123043,173.36025,3.5463421,0.5459737,GALAXY,0.5459737,144.1786,29.38997,boss
1237654031403123301,173.44903,3.6219089,0.3604226,GALAXY,0.3604226,230.5351,17.53326,boss
1237655123930645144,173.40707,3.6396094,0.5233949,GALAXY,0.5233949,200.3201,55.22168,boss
0,173.3888,3.7114995,0.8105423,GALAXY,0.8105423,850,-3,boss
1237655123930644870,173.37616,3.7239193,0.4647546,GALAXY,0.4647546,254.8784,41.65692,boss
1237655123930644917,173.40332,3.7408056,0.5229931,GALAXY,0.5229931,299.9846,50.31422,boss
1237655123930579760,173.28511,3.779008,0.540648,GALAXY,0.540648,148.4804,36.94549,boss
1237655123930645111,173.37986,3.7579398,0.5714793,GALAXY,0.5714793,215.4403,32.38939,boss
1237654604257755783,173.32111,3.8850763,0.5641078,GALAXY,0.5641078,174.4443,33.82127,boss
1237655124467515964,173.39388,4.148504,0.464582,GALAXY,0.464582,180.1256,25.88231,boss
1237654604257755833,173.33208,3.9751029,0.5426734,GALAXY,0.5426734,257.1404,29.73433,boss
1237654604257755676,173.29231,3.8679915,0.4447932,GALAXY,0.4447932,245.1841,28.20287,boss
1237655124467515941,173.3859,4.1113675,0.4630076,GALAXY,0.4630076,211.541,20.14372,boss
1237655124467515888,173.34651,4.1842176,0.5274971,GALAXY,0.5274971,245.3925,27.20475,boss
1237655124467516117,173.31538,4.1538319,0.5308999,GALAXY,0.5308999,227.4219,37.13157,boss
1237655124467515860,173.33069,4.1937112,0.5442738,GALAXY,0.5442738,364.5989,138.2189,boss
1237654604257755348,173.28338,4.0200922,0.2674187,GALAXY,0.2674187,250.1237,10.5399,boss
1237655124467515769,173.28611,4.1516795,0.6453245,GALAXY,0.6453245,850,-3,boss
1237654604794626319,173.27259,4.3143461,0.5696089,GALAXY,0.5696089,152.5587,28.80663,boss
0,173.30096,4.2732118,0.5953249,GALAXY,0.5953249,850,-3,boss
1237651754544202089,173.10248,2.9411415,0.4262489,GALAXY,0.4262489,241.6976,29.07409,boss
1237651755081138641,173.29397,3.4594237,0.5797992,GALAXY,0.5797992,254.171,25.8283,boss
1237651755081138790,173.23881,3.36434,0.5872325,GALAXY,0.5872325,144.5056,38.90308,boss
1237654030866120899,173.1538,3.2419395,0.3435793,GALAXY,0.3435793,232.4076,15.5349,boss
1237650796218941950,143.68153,0.11845513,0.3469526,GALAXY,0.3469526,0,74.07883,boss
1237648720141091581,143.67457,-0.85044831,0.4846145,GALAXY,0.4846145,263.8965,40.7784,boss
1237648720141091378,143.71472,-0.87664084,0.4851134,GALAXY,0.4851134,230.5974,30.82771,boss
1237650795145200066,143.6789,-0.7491602,0.4606739,GALAXY,0.4606739,248.0701,28.98332,boss
1237648720677962341,143.6562,-0.60207211,0.5625319,GALAXY,0.5625319,180.3456,34.4305,boss
1237648720141026001,143.60465,-0.88604798,0.600859,GALAXY,0.600859,461.7525,184.4449,boss
1237648720677896999,143.5797,-0.54069127,0.5251819,GALAXY,0.5251819,809.2857,270.4494,boss
1237648721214702303,143.44855,-0.13981564,0.4891763,GALAXY,0.4891763,214.9969,40.1635,boss
1237650795682005388,143.54594,-0.29817947,0.3400902,GALAXY,0.3400902,174.9454,12.82403,boss
1237650796218876497,143.55201,0.050902592,0.234113,GALAXY,0.234113,123.1682,43.7495,boss
1237650796218811015,143.45213,0.12624427,0.517095,GALAXY,0.517095,359.3553,103.6038,boss
1237650795681940214,143.49591,-0.37399102,0.6302234,GALAXY,0.6302234,153.2613,35.51611,boss
1237648721214767687,143.5386,-0.021492994,0.4225679,GALAXY,0.4225679,850,-3,boss
1237648721214767592,143.49813,-0.060660615,0.3850155,GALAXY,0.3850155,205.8524,24.42535,boss
