# name,# catalog-job 2015-10-28
# SQL,"# SELECT id, ra2000, decl2000, mag_i, redshift
# FROM external_catalog.specz_201510
# WHERE redshift > 0.1
# LIMIT 1000
# ;
# "
#
# id,ra2000,decl2000,mag_i,redshift
788,188.79818,-0.462972,19.343,0.48078
790,191.02305,-0.584109,21.031,0.2786
791,191.02976,-0.629399,21.179,0.14871
793,207.88383,-0.520718,17.701,0.29264
807,221.400238,-0.601887,18.269,0.33975
808,221.41395,-0.525012,18.904,0.39919
811,221.4636536,-0.494819,16.993,0.29165
814,221.6099548,-0.421887,18.279,0.34098
815,222.8190308,-0.448369,17.601,0.25355
816,222.8197174,-0.487159,17.922,0.25326
817,223.0192871,-0.584102,18.13,0.31672
822,232.30254,-0.57719,17.918,0.31064
825,232.43454,-0.592821,18.255,0.33255
828,232.56744,-0.469118,17.625,0.23744
829,232.73086,-0.574015,18.452,0.34092
832,233.95257,-0.494617,18.375,0.37235
833,233.94552,-0.549843,18.361,0.37294
836,120.14189,-0.163366,18.67,0.34916
837,120.20358,-0.111546,16.784,0.18972
839,128.58366,-0.180895,17.703,0.28001
840,128.75709,-0.194438,19.353,0.38239
841,129.0963898,-0.0029,17.581,0.2455
845,129.6982422,-0.157241,17.548,0.27035
848,137.8062592,-0.120623,17.521,0.303
850,141.68925,-0.177307,17.646,0.3625
853,144.47365,-0.170914,18.512,0.39954
854,144.50731,-0.004849,15.714,0.12167
857,145.00016,-0.114321,17.04,0.15599
859,145.07349,-0.157202,17.108,0.16556
860,146.62046,-0.08326,19.701,0.34822
861,147.39878,-0.088336,18.122,0.3226
862,147.42724,-0.095138,21.368,0.20474
863,147.74233,-0.194408,18.479,0.3775
875,152.25091,-0.18335,17.234,0.11003
876,152.20893,-0.202397,17.052,0.11051
878,152.26579,-0.171166,16.681,0.18407
880,152.40893,-0.159727,17.705,0.13755
882,152.50593,-0.197907,16.786,0.15126
883,152.54525,-0.110209,17.025,0.13655
888,153.74358,-0.073596,16.968,0.18734
889,154.12171,-0.026977,17.038,0.10431
897,154.53072,-0.136749,18.156,0.37183
899,154.55771,-0.127916,16.864,0.14023
904,154.9734,-0.059188,16.839,0.20111
913,172.01116,-0.117319,19.738,0.37067
914,172.01633,-0.140621,18.301,0.31603
918,144.27459,-0.1844,21.797,2.52718
919,173.56144,-0.095834,18.233,0.35527
920,144.15448,-0.054542,19.26,0.55773
921,129.70795,-0.003329,19.023,0.49004
922,129.65452,-0.08795,18.798,0.45473
923,128.99026,-0.158439,19.376,0.43797
925,120.17974,-0.200938,19.504,0.51007
926,222.50582,-0.607211,20.756,3.12171
928,221.67582,-0.535801,19.163,0.69809
929,221.53854,-0.4435,19.936,2.77751
930,220.2943,-0.613208,19.897,0.66761
931,191.01096,-0.497036,19.683,0.45294
932,188.71439,-0.137371,18.731,0.37889
933,188.76944,-0.526465,21.096,3.29834
934,172.5876,-0.584745,19.609,0.5356
935,172.19716,-0.556745,19.537,0.53468
936,172.00035,-0.435169,19.576,2.23501
938,169.02197,-0.506552,19.686,0.70625
939,163.9826355,-0.6116,19.807,0.52175
940,149.7481,-0.619746,19.428,5.86825
941,148.40613,-0.523172,19.799,0.75047
943,141.81621,-0.606057,19.723,0.60784
944,137.57944,-0.618368,19.541,0.47287
945,129.08062,-0.546806,19.613,0.64198
946,129.03736,-0.494303,19.311,0.64327
947,221.32241,-0.882009,19.621,0.52795
950,221.11981,-0.861764,19.216,0.57511
959,220.69312,-0.954485,19.485,0.58855
960,221.2356262,-0.099676,18.05,0.3042
961,220.4184,-0.919274,19.88,0.73028
962,220.38626,-0.910485,19.255,0.54568
964,221.4131775,-0.145594,18.232,0.28868
968,219.61669,-0.933122,19.111,0.48277
969,208.0957,-0.912167,19.881,0.63217
970,208.04843,-1.035001,19.322,0.6215
972,208.01324,-0.991375,19.581,0.4714
973,207.82764,-0.958841,20.83,2.65161
974,192.22113,-0.894964,19.619,0.62632
975,188.01344,-0.965359,19.831,0.71059
976,188.01145,-0.868208,19.795,0.61616
977,223.1313019,-0.071768,18.145,0.31416
978,223.1517029,-0.091839,17.701,0.25748
979,187.70432,-0.922464,19.79,0.53307
980,177.52526,-0.871365,21.739,2.41444
981,173.7079,-0.887417,19.481,0.46666
982,172.19451,-0.917175,19.809,0.58658
983,171.91298,-0.128488,21.821,1.29375
985,164.08843,-0.033315,19.717,0.60615
986,148.5528,-0.201303,19.864,0.56935
987,144.31535,-0.161896,19.805,0.61195
988,144.31944,-0.093689,19.475,0.52498
991,228.55204,-0.042181,17.222,0.22944
993,228.57257,-0.074417,16.896,0.2293
994,144.15057,-0.035653,19.889,0.60818
995,142.41428,-0.055766,19.139,0.45283
996,142.00948,-0.021309,19.389,0.60596
997,222.87995,-0.415612,19.493,2.16336
998,232.17148,-0.036221,17.642,0.29068
999,232.31125,-0.133128,18.944,0.35938
1000,219.65889,-0.5645,19.814,0.53121
1001,187.86841,-0.486809,21.241,1.39522
1002,146.79022,-0.513586,19.8,0.56453
1003,142.07217,-0.560768,19.52,0.78379
1004,232.4546,-0.171667,17.372,0.2005
1005,141.99735,-0.43787,18.803,0.45146
1006,165.05378,-0.903529,19.764,0.62516
1007,165.22154,-0.872246,19.423,0.45632
1008,165.44096,-0.849371,18.77,0.55691
1009,166.35276,-1.036242,18.942,0.46265
1010,179.20015,-0.927699,19.835,0.68968
1011,186.50746,-0.955515,19.776,0.51134
1012,196.50172,-0.926094,19.297,0.58247
1013,195.08874,0.883385,18.136,1.30893
1014,165.56573,-0.851937,19.468,0.51298
1015,165.48334,-0.849142,18.852,0.53953
1016,170.66198,-0.971772,19.688,0.56437
1017,185.78736,-0.954356,19.697,0.55756
1018,141.64905,-0.890282,19.556,0.60087
1019,165.93366,-0.956133,19.64,0.70097
1020,166.29244,-0.981793,18.934,0.5447
1021,165.2889,-0.889025,19.407,0.55877
1022,186.45853,-0.972518,20.674,3.14773
1023,179.39054,-0.977095,19.584,0.51652
1024,195.78706,-0.911838,18.765,2.21797
1027,200.25406,-0.961045,16.984,0.11485
1028,200.35711,-1.034665,16.027,0.10693
1029,200.43099,-0.979365,17.412,0.18149
1031,200.65756,-0.892263,21.403,2.81866
1032,200.73857,-1.01723,19.661,0.6534
1033,200.94482,-1.033759,19.438,0.55554
1035,201.07062,-0.847915,21.968,1.82092
1038,183.4971313,-0.673479,17.872,0.34685
1041,183.7200165,-0.68348,16.708,0.12576
1052,184.0022736,-0.672302,17.943,0.34421
1053,184.0935364,-0.735711,17.109,0.11974
1059,184.142807,-0.770358,16.998,0.25302
1062,246.80418,-1.247814,18.765,0.97182
1063,229.64397,-1.090358,18.3,0.65232
1064,224.83797,-1.076944,18.859,0.43601
1065,221.07942,-1.045708,18.626,0.40106
1070,242.3398,0.944254,17.081,0.28367
1071,240.17098,-0.077255,16.103,0.15592
1074,195.66484,0.404673,19.526,0.37445
1075,195.7146,0.332811,18.003,0.33042
1079,195.8746,0.371023,17.404,0.25593
1081,196.51967,0.22912,17.74,0.3576
1086,196.422,0.398189,17.103,0.22329
1089,196.62988,0.341506,17.03,0.16684
1090,196.63769,0.380135,16.907,0.14785
1091,196.60137,0.244683,18.172,0.37467
1092,196.7671,0.317392,16.774,0.17624
1093,196.83814,0.294278,18.329,0.45638
1094,196.98012,0.290291,18.797,1.65088
1116,120.38171,0.162515,19.874,0.68748
1117,120.3564,0.149398,19.641,0.57991
1118,120.48265,0.09779,19.556,0.68993
1119,120.35095,0.042244,19.887,0.54267
1120,120.55552,0.116828,19.348,0.53618
1121,120.36804,0.054276,19.517,0.58291
1122,120.47347,0.008914,19.777,0.74642
1125,119.93167,0.55029,19.02,0.79843
1126,197.8502,0.258947,17.072,0.2112
1127,197.98719,0.230935,16.689,0.21212
1131,198.14687,0.343632,17.151,0.20767
1134,198.0986,0.327307,17.474,0.29663
1135,184.31273,-1.05573,20.11,1.05111
1136,184.35807,-1.078043,19.064,0.44265
1138,184.3933868,-1.117904,18.561,0.4047
1139,184.43114,-1.22319,19.479,0.53954
1140,184.48096,-1.219197,19.595,0.44223
1141,184.50218,-1.210903,19.891,0.59683
1142,184.36906,-1.252617,19.001,0.50887
1143,184.45611,-1.1994,19.544,0.624
1144,184.45959,-1.075979,19.616,0.48425
1145,184.48813,-1.125176,19.79,0.87001
1147,184.61259,-1.06087,19.845,0.60849
1148,184.73021,-1.153732,18.804,0.35194
1149,185.94024,-1.162416,19.539,0.47098
1175,194.13994,-1.097704,16.875,0.15922
1176,194.1745,-1.182786,16.646,0.13283
1180,194.24972,-1.129058,17.131,0.22713
1181,194.27578,-1.218466,17.094,0.14206
1182,194.30813,-1.200363,18.049,0.19625
1183,194.41898,-1.156948,17.173,0.12103
1184,194.46134,-1.069461,17.164,0.19626
1188,196.89093,-1.051994,19.467,0.19083
1191,197.08853,-1.218827,15.849,0.11786
1192,197.1241,-1.17953,17.009,0.17709
1193,197.16104,-1.2196,15.91,0.113
1198,197.378,-1.092325,16.68,0.17869
1216,200.03399,-1.188895,16.35,0.11188
1219,200.16664,-1.101745,16.493,0.11513
1220,200.1843,-1.097794,15.913,0.11576
1221,200.43842,-1.157802,16.618,0.10883
1222,200.44413,-1.104067,16.661,0.10722
1224,200.56983,-1.102275,16.713,0.10367
1228,204.19707,-1.051967,19.266,0.3713
1232,204.3608,-1.087952,17.643,0.33023
1233,209.62088,-1.19323,17.106,0.13036
1234,209.75589,-1.164607,19.978,0.18853
1236,209.93944,-1.052409,17.878,0.35343
1237,209.97245,-1.176773,16.785,0.16738
1239,213.0244141,-1.056101,16.945,0.18237
1242,215.8142242,-1.067342,16.893,0.2029
1251,71.725209,-1.152905,19.317,0.57466
1266,72.052595,-0.750089,20.336,1.56047
1299,72.828151,0.538835,19.581,0.13725
1306,215.9957886,-1.075112,16.494,0.17696
1307,218.4576569,-1.076598,17.08,0.22814
1309,218.5996704,-1.086688,17.337,0.13115
1310,218.606842,-1.213083,16.592,0.18009
1314,218.6874084,-1.131198,16.918,0.24455
1315,220.0629883,-1.252351,18.621,0.33172
1321,229.22634,-1.063931,16.975,0.11933
1322,229.96121,-1.119318,16.486,0.11521
1323,229.9461,-1.093047,16.762,0.12035
1324,230.0241,-1.123871,17.229,0.11965
1326,184.4700165,-0.820822,17.818,0.23917
1329,184.55101,-0.794355,19.022,0.27814
1342,174.14536,-0.95856,19.138,2.50002
1344,238.90814,-0.591498,17.93,0.30072
1345,238.94342,-0.603815,18.202,0.33007
1350,238.46782,-0.099656,18.071,0.34087
1355,238.97746,-0.125132,16.925,0.11832
1358,238.94131,-0.168452,17.899,0.33629
1360,239.14699,-0.10323,18.435,0.30179
1361,239.46293,-0.061412,17.238,0.10447
1362,240.03646,-0.021665,16.935,0.13678
1368,239.25767,0.290349,16.165,0.11836
1371,239.65097,0.33626,16.486,0.15605
1372,239.65124,0.316082,17.525,0.37763
1375,239.72404,0.264671,17.122,0.15726
1377,239.87441,0.313262,16.921,0.11957
1378,239.88953,0.302606,16.475,0.11936
1380,165.68599,0.683723,17.189,0.12301
1382,165.73403,0.661354,15.897,0.10744
1386,239.60126,0.692338,16.531,0.10171
1387,239.63904,0.785247,16.548,0.11853
1389,239.6566,0.779197,18.295,0.38261
1393,239.15941,1.14461,16.683,0.14808
1419,192.07546,-0.794302,18.093,0.38395
1422,192.55967,-0.675815,20.316,0.16505
1425,194.07144,-0.639553,17.283,0.13503
1426,194.08567,-0.660212,17.586,0.28238
1427,194.0367,-0.657389,19.059,0.37384
1428,194.16935,-0.75252,17.114,0.14209
1432,195.86999,-0.632679,16.973,0.15786
1445,197.18966,-0.788366,15.819,0.18835
1450,197.42743,-0.822731,16.266,0.11901
1452,197.56149,-0.798675,16.736,0.11906
1453,197.57397,-0.654608,16.344,0.17771
1462,197.75727,-0.7042,18.106,0.24516
1471,198.16899,-0.774984,17.215,0.23196
1476,198.77684,-0.709408,17.193,0.20695
1477,198.77703,-0.67656,17.264,0.29167
1514,119.56419,0.432338,18.389,0.48273
1516,201.23074,-0.99629,16.558,0.1836
1517,201.17182,-0.900989,19.306,0.48987
1518,201.23174,-0.901483,18.847,0.46233
